36,37,6184
35,36,3581
35,37,3310
34,35,3469
34,36,5763
34,37,775
33,34,4850
33,35,4441
33,36,927
33,37,5309
32,33,3243
32,34,5402
32,35,1943
32,36,2380
32,37,5241
31,32,9487
31,33,6386
31,34,7055
31,35,10115
31,36,7170
31,37,7508
30,31,541
30,32,9981
30,33,6880
30,34,7551
30,35,10611
30,36,7664
30,37,8004
29,30,3812
29,31,3279
29,32,6760
29,33,3587
29,34,3877
29,35,6937
29,36,4443
29,37,4329
28,29,36
28,30,3849
28,31,3243
28,32,6724
28,33,3551
28,34,3841
28,35,6901
28,36,4407
28,37,4293
27,28,1007
27,29,1015
27,30,4622
27,31,3898
27,32,6956
27,33,3728
27,34,3412
27,35,6472
27,36,4639
27,37,3865
26,27,4893
26,28,4021
26,29,4050
26,30,432
26,31,1106
26,32,10246
26,33,7145
26,34,7823
26,35,10883
26,36,7929
26,37,8275
25,26,7838
25,27,3418
25,28,3846
25,29,3882
25,30,7551
25,31,6831
25,32,5401
25,33,4850
25,34,135
25,35,3469
25,36,5763
25,37,789
24,25,6811
24,26,1112
24,27,3881
24,28,3009
24,29,3045
24,30,851
24,31,12
24,32,9475
24,33,6374
24,34,6795
24,35,10103
24,36,7158
24,37,7496
8,4,2356
8,5,1383
8,6,1783
8,7,2416
8,10,876
8,11,1104
8,12,2877
8,13,3011
8,16,9366
8,14,4481
8,15,4942
8,17,3240
8,18,3180
8,19,3341
8,20,3467
8,21,3272
8,22,4450
8,23,3806
8,24,3796
8,25,3046
8,26,10812
8,27,4765
8,28,3875
8,29,4052
8,30,9999
8,31,9780
8,32,4481
8,33,6350
8,34,3046
8,35,2548
8,36,6117
8,37,3180
4,5,991
4,6,688
4,7,246
4,10,1499
4,11,1299
4,12,688
4,13,1153
4,16,4912
4,14,4155
4,15,4002
4,17,4335
4,18,4275
4,19,4178
4,20,5623
4,21,5002
4,22,4394
4,23,4359
4,24,7607
4,25,1253
4,26,8639
4,27,4177
4,28,5623
4,29,5823
4,30,8340
4,31,7826
4,32,4416
4,33,5609
4,34,1223
4,35,2484
4,36,6053
4,37,991
1,2,1894
1,3,2202
1,9,1685
1,8,1794
1,4,497
1,5,715
1,6,351
1,7,680
1,10,1347
1,11,1036
1,12,976
1,13,1260
1,16,4632
